Iteration Counter, Absolute Error
1,2.5
2,1.25
3,0.625
4,0.3125
5,0.15625
6,0.078125
7,0.0390625
8,0.01953125
9,0.009765625
10,0.0048828125
11,0.00244140625
12,0.001220703125
13,0.0006103515625
14,0.00030517578125
15,0.000152587890625
16,7.62939453125e-05
17,3.814697265625e-05
18,1.9073486328125e-05
19,9.5367431640625e-06
20,4.76837158203125e-06
21,2.38418579101562e-06
22,1.19209289550781e-06
